Vids Coming Soon... (maybe),,,,,,,Vids Coming Soon... (maybe),,,,,,,,
World 19: The Fall of Silver Land,,,,,Notes,,Off-Meta Units,,,,,,,,
,,,,Ryan_Lass_Rufus_Amy_Hwarang(T)_V1_4573775EBB7959DFC72730B999FADB2F3745A38FB78BF3C55EF2DDD3CAB9B8BC2FECA7BA32B021127BDCCC6304494FFC9424D79CB8A0140FCA4DB0E113D9352B90FE24A5606634B6DDBE4516953EBC35AD4C7927CB715586639BABE19C1347DFB7ECF289D2B0989E3557B48A26CC9B9416F9B34FB17A95E856D79496B9CE7F19,Extreme 100% wants Amy & Lass' Spirit to be D10. The other two units can be whatever you need. By far one of the easier Core's to do,,,,,,,,,,
Balance,Spirit,Balance,Spirit,,,,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance
Ryan,Lass,Rufus,Amy,,,,Lime T,Jin,Deca T,Lire T,Gany T,Vice,Arme S,Ronan T,Mayd T
,,,,,,,,,,,,,,,
World 18: Levianthan's Sanctuary,,,,,Notes,,Off-Meta Units,,,,,,,,
,,,,Ai(T)_Elesis_Lire(S)_Deia(T)_Reruby(S)_V1_923A0ACDEFBD5C997164452F2A99C3A91FF5EFBCB18C8CD2BD1CACA2B662B4A93A97BD25F15791AAF2B48929845AA05C41D1257971A73BEB56DA65DCC540C2BA4E57D8D37007DB3E4B47F7C43CB3C5856495EFEE98D1A279841D1C1A79E551B4760EDAD9C76489F9B5FA804649FD003DD5AF42DD9AE03F0BDE0FF6C745F03840,You will have a hard time trying to Full Auto. Just dodge the attacks & save Elesis T's attack for when Levianthan charges an attack.,,,,,,,,,,
Life,Life,Life,Life,,,,Life,Life,Life,Life,Spirit,Life,Life,Life,
Ai T,Elesis,Lire S,DeiaT,,,,Tia,Bram,Lire,Lapis,Mari,Myst T,Gran T,Urara,
,,,,,,,,,,,,,,,
World 17: The Descending Archangel,,,,,Notes,,Off-Meta Units,,,,,,,,
,,,,Callisto(T)_Edel_Lime(S)_Nelia(T)_Holy(S)_V1_00123217AF777F1C2B2E23E2F34CA141C33D753A4B872BFC126969B93E1797F7B9910740C0753E30F45010AF5A6B877125B7B9F03BCA709CC5F09B85BF53A65A0C153055F8E3B363D548DA096BE09658717974DA712FB2B23B36EA517D03BE7B60392E2A24EEB0DF1825A3E6918AA0462314A9DE69D6E3BF79D337781B00C98E,Nepteon doesn't work? Reminder to manually walk to teleporters.,,,,,,,,,,
Retribution,Retribution,Spirit,Retribution,,,,Retribution,Retribution,Retribution,Retribution,Retribution,Retribution,Retribution,Retribution,
Cali T,Edel,Lime S,Nelia T,,,,Ronan,Jin T,Tiamat,Myri,Cindy T,Io,Uno,Scarde,
,,,,,,,,,,,,,,,
World 16: Legacy of the Creator,,,,,Notes,,Off-Meta Units,,,,,,,,
,,,,Ryan_Lass_Rufus_Amy_Hwarang(T)_V1_4573775EBB7959DFC72730B999FADB2F3745A38FB78BF3C55EF2DDD3CAB9B8BC2FECA7BA32B021127BDCCC6304494FFC9424D79CB8A0140FCA4DB0E113D9352B90FE24A5606634B6DDBE4516953EBC35AD4C7927CB715586639BABE19C1347DFB7ECF289D2B0989E3557B48A26CC9B9416F9B34FB17A95E856D79496B9CE7F19,"Magic Resistant Boss. If you have Descent Amy &/or Lass, you can probably just use Vice. Bruteforcing bosses via Powercreep",,,,,,,,,,
Balance,Spirit,Balance,Spirit,,,,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance
Ryan,Lass,Rufus,Amy,,,,Lime T,Jin,Deca T,Lire T,Gany T,Vice,Arme S,Ronan T,Mayd T
,,,,,,,,,,,,,,,
World 15: Evil God's Seal,,,,,Notes,,Off-Meta Units,,,,,,,,
,,,,Ai(T)_Elesis_Lire(S)_Deia(T)_Reruby(S)_V1_923A0ACDEFBD5C997164452F2A99C3A91FF5EFBCB18C8CD2BD1CACA2B662B4A93A97BD25F15791AAF2B48929845AA05C41D1257971A73BEB56DA65DCC540C2BA4E57D8D37007DB3E4B47F7C43CB3C5856495EFEE98D1A279841D1C1A79E551B4760EDAD9C76489F9B5FA804649FD003DD5AF42DD9AE03F0BDE0FF6C745F03840,Be sure to destroy the pillars near the boss to stay alive. Not that hard of a boss anymore.,,,,,,,,,,
Life,Life,Life,Life,,,,Life,Life,Life,Life,Life,Life,Life,Life,
Ai T,Elesis,Lire S,DeiaT,,,,Tia,Bram,Lire,Lapis,Mari,Myst T,Gran T,Urara,
,,,,,,,,,,,,,,,
