Attack Meta,,,,,,,Attack Meta,,,,,,
Comps,,,,Key,,,Videos,,,,,,
,,,,Asin_Asin(T)_Metatron_Arme(T)_Veil_V1_1106E2D094C59D8FCD72C6AAD9F3F2AB469064C9F58CBC7833C7F9775773A3DD18CA4BA40ADB2B6F34A94136C2277866D4562CEE2D2378B9762A6A49EC31A87A01660A99A013C04C7B3DC766746A0C2F5A26AEC82DA58B4585BFEED1F820B3413D80A1F96437F1D51B77A0DB7103B64C2A432E1A76F87BCE1E93B288273A7940,,,,,,,Asin_Asin(T)_Bastet_Arme(T)_Bascat_V1_BD4277AC91AEA256EB2EFFF32343868D3D131326486DA0488C4A147DD2AEA0E3F2628A85BBD3FC7ECB53FB8375383C2D829B69C97F11F471B1BD8B9347277D02DC646ECF80C19C5A0570E84E716B57BEA34DD85D2AC11F06AF005C1CF092001584C98BEB2381574B5ADD10F17E49042E1863619372577CB913BE19E26E99DDCB,,
Ruin,Ruin,Ruin,Ruin,,,,Ruin,Ruin,Ruin,Ruin,,,
Asin,Asin T,Metatron,Arme T,,,,Asin,Asin T,Bastet,Arme T,,,
,,,,Asin_Asin(T)_Metatron_Rin_Veil_V1_372002A8444E892113941087AFF434BF6F22D01077B729673E37B14A2094232EFB7D72288DFCF340CE9B401D102D88CEED12554AEC135B028D36314BC05DA305EF7E930BA550BACECD9FB23EE9DC3AB4D8CB1134C2B552037F14CD2D2085AC4F9159238BAFF6AE4AA1A8353BB63373CF28C827AC8759DE92D82D3B4A76CB311D,,,,,,,Asin_Asin(T)_Bastet_Rin_Bascat_V1_66D7AF925E455F18096EA0EAD1A511F9C4ABADE50670F5FDC64E664532E4D93E961907E5157D6C06FECC9408FC075009DE35D6E6296E1EF9F2490D3077D73D33F98CBA1E00371A562F6981E871D0724D0931F84AB9632D0C9A4F60D7D98AA8B025AD1C60C295FE35EDEFCBBF2D577E7BE666F2C3B417D3E3332BBDA6A50365B4,,
Ruin,Ruin,Ruin,Ruin,,,,Ruin,Ruin,Ruin,Ruin,,,
Asin,Asin T,Metatron,Rin,,,,Asin,Asin T,Bastet,Rin,,,
,,,,,,,,,,,,,
,,,,Dio(T)_Europa_Deia_Ragnar(T)_Selena_V1_3F3B09B41CD9E0AB306ACBF766D54C44F7C6C287812F311DC763A99B53C251D2052C75C3AA0DA639F2EB1656A4D808879AF6BA1EB8FB4528F82905258784893D776C7A4AE9A4A55AE856F263497244A8AE2B3480423843B561C70792B29C95A35C2B898E8D2B47D0BD561A32BB3E2600CA2EDE41A766D1D963C80830784CB9F9,,,"Fuck Arena. Figure that shit out yourself.
I don't play that shit.",,,,,,
Cycle,Cycle,Cycle,Cycle,,,,,,,,,,
Dio T,Europa,Deia,Ragnar T,,,,,,,,,,
Defense Meta,,,,,,,KR's Guild Tourney Defense Examples,,,,,,
Hide These Two,,A Combination of these units (There's no win condition for defense. You're 100% expected to lose.),,,,,,,,,,,fuck lime t
,,,,,,,,,,,,,
Ruin,Ruin,Ruin,Ruin,Ruin,Ruin,Ruin,Ruin,Ruin,Cycle,Cycle,,,Balance
Asin T,Metatron,Arme T,Rin,Zero,Asin,Harpe T,Dio,Hwarin,Ragnar T,Deia,,,Lime T
,,,,,,,,,,,,,
Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Ruin,Ruin,Ruin,Ruin,,,,Balance
Ragnar T,Deia,Dio T,Myst,Sieghart,Europa,Asin T,Zero,Asin,Hwarin,,,,Lime T
These Units Are Not Used In A PVP Setting At All,,,,,,,,,,,,,
,,,,,,,,,,,,,
Cycle,Cycle,Cycle,Cycle,Ruin,,,,,,,,,
Ai,Harpe,Lemon,Ragnar,Decanee,,,,,,,,,
