Video Playlist For World Boss,,,,,,,Video Playlist For World Boss,,,,,,,,
,,,,,,,,,,,,,,,
Phase 1,,,,,Notes,,Off-Meta Units,,,,,,,,
,,,,Lass_Rufus_Ganymede(T)_Mayden(T)_Muse(T)_V1_3EC8887E214BCAC7D1DA716323B46A38EE0888E28B3D845D8B88EDAD83B2DAE61E36E6ABE5B922906D938692115C7CD521CB81767229A011D7B306E82AB56A73022AECA844441472055AA36090D4F482937EDAC125AD11590A1BD5A775E204C6C6DAF3C05F37FD31EDFA5D756E58BD527BC06336753A8DC01335AED97229F792,"Avoid the Red & Purple
Easy.",,,,,,,,,,
Balance,Balance,Balance,Balance,,,,Ruin,Cycle,Balance,Balance,Life,Retribution,,,
Lass,Rufus,Gany T,Mayd T,,,,Bastet,Ragnar,Zero T,Io T,Ley T,Scarde,,,
,,,,,,,,,,,,,,,
Phase 2,,,,,Notes,,Off-Meta Units,,,,,,,,
,,,,Edel_Io_Myrielle_Nelia(T)_Mirfee_V1_50B2B00FD568E25CA6A27866A00AD1DBB862125B261C93BFE1E7498F00C715A16DE83600BC99FE7C12C4D68B777F07DD6041DD71FC9857F38C923CFD6F4AC193466D00D92BC5AC6D1F576334BFEBA8D15C25A756C86AEC2412DA6B8DE7C3AA44DF24A57FC36332139EF1D6AF23C3F9E6FFD0D525605E899F92ED05C4D2A1146AFFE6F4C07312B2884ADFD59689F4D108,Move mobs to the barrier.,,,,,,,,,,
Spirit,Retribution,Retribution,Retribution,,,,Retribution,Retribution,Cycle,Retribution,Retribution,,,,
Edel,Io,Myri,Nelia T,,,,Tiamat,Uno,Ragnar,Euro T,Scarde,,,,
,,,,,,,,,,,,,,,
Phase 3,,,,,Notes,,Off-Meta Units,,,,,,,,
,,,,Elesis_Mari_Grandiel(T)_Deia(T)_Sebastian(T)_V1_6BFB7FB5B435C8302E54490178D3A44C304B0D51F8AA5ABB661566E263C9090156C433A1B80ED15D767828C063186AEB8859E5E6F907D4A3699E5BE446C229670A3B223AE2985D0CF9FEA437BA36DD71A702994CD6966D6AB88A2730E78003FCF255C26458C51B59EE50017F6DB79883F81B96C0814E7329C9CDE2E90EBF4F2B,Make sure two units are hit by the red circle. Otherwise you're stunned!,,,,,,,,,,
Life,Spirit,Spirit,Spirit,,,,Spirit,Life,Life,Life,,,,,
Elesis,Mari,Gran T,DeiaT,,,,Mari,Myst T,Agnesia,Grandiel,,,,,
,,,,,,,,,,,,,,,
Phase 4,,,,,Notes,,Off-Meta Units,,,,,,,,
,,,,Nepteon_Lime(S)_Metatron_Cindy_Holy(S)_V1_F65F10DDA011D41F841ABA38A938F9949A8B6C006C9432E5FBAEE7B4E7F889D8750FD41C86FD5718B82EA22D7B60549A6D9D1CC8596AB4BB1559DF5D20A0957FB572E18DC3D6FF1E3A1FD23C4907972EB924476429E1B8DCEE51DC678CF139018E6200010D32B13BF867CA93E67AE04376F5DF93E5FF62CB177814BB68FBEB05,? ? ?,,,,,,,,,,
Retribution,Retribution,Ruin,Retribution,,,,Retribution,Retribution,Retribution,Retribution,,,,,
Nepteon,Lime S,Metatron,Cindy,,,,Edel,Cindy T,Ganyme,Arme,,,,,
,,,,,,,,,,,,,,,
Phase 5,,,,,Notes,,Off-Meta Units,,,,,,,,
,,,,Ronan(T)_Arme(S)_MyungHwarin(T)_Amy_Malefi(T)_V1_A08325AF9A344363382D4549709593EBAFBFEC1BBA7F58BA7DA9AB8D5EDC687A8D145BE1690296BEE7E0B87BE276D39F2D562F043704D487B7DA486C475F288B7D5E70B79E37C9E2D83F31DE4BDD9626156F7031FE77EF30D4C9185AA16A620E6EB3D33E845E7D61FEB306410AD9367D7A9435C82652938746CBE1C2F3379B81,Run near the rocks on the side and cleanse auto.,,,,,,,,,,
Balance,Balance,Balance,Spirit,,,,Balance,Balance,Balance,Balance,Balance,Balance,,,
Ronan T,Arme S,Myung T,Amy,,,,Deca T,Vice,Veigas,Mayd T,Zero T,Io T,,,
,,,,,,,,,,,,,,,
Phase 6,,,,,Notes,,Off-Meta Units,,,,,,,,
,,,,Brammashell_Iyoung_Lapis_Urara_Choun_V1_559738EFF77580668DADA2946773FBAA652DC0CD5CFA2BFB6E7D9CC7E3CF58F3429176746ABFD84D8C451EFA226C951E3F4087A09A89AF2822EDA8742F157397E19F4141A38D39EB71DC23BE5BA858ED72BCE88AF1C6C33517A7E43F5A29D0F997EB60296525E8A6541E97BCF76E2FA1F845946688EBDC7107AE13E0F87801F1,"Guide this bozo to the lights.
When purple comes, hide behind the rocks",,,,,,,,,,
Life,Life,Life,Life,,,,Life,Life,Life,Life,,,,,
Bram,Tesumoo,Lapis,Urara,,,,Sieg T,Tia,Lire,Lire S,,,,,
